"0"|"NCT00002651"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Filgrastim"
"1000"|"NCT00643201"|"Canada"|"Bristol-Myers Squibb"|"Venous Thrombosis"|"Warfarin"
"1001"|"NCT00643734"|"Canada"|"Pfizer"|"Pneumonia"|"Levofloxacin"
"1002"|"NCT00644449"|"Canada"|"Pfizer"|"Bronchitis, Chronic"|"Levofloxacin"
"1003"|"NCT00644449"|"Canada"|"Pfizer"|"Bronchitis, Chronic"|"Zithromax"
"1004"|"NCT00645918"|"Canada"|"Accumetrics, Inc."|"Acute Coronary Syndrome"|"Moxifloxacin"
"1005"|"NCT00645918"|"Canada"|"Accumetrics, Inc."|"Coronary Arteriosclerosis"|"Moxifloxacin"
"1006"|"NCT00647738"|"Canada"|"Mylan Pharmaceuticals"|"Healthy"|"Baclofen"
"1007"|"NCT00648128"|"Canada"|"Mylan Pharmaceuticals"|"Healthy"|"Clarithromycin"
"1008"|"NCT00648544"|"Canada"|"Mylan Pharmaceuticals"|"Therapeutic Equivalency"|"Pravastatin"
"1009"|"NCT00648830"|"Canada"|"Mylan Pharmaceuticals"|"Healthy"|"Sumatriptan"
"1010"|"NCT00648960"|"Canada"|"Mylan Pharmaceuticals"|"Healthy"|"Baclofen"
"1011"|"NCT00648960"|"Canada"|"Mylan Pharmaceuticals"|"Healthy"|"Clarithromycin"
"1012"|"NCT00650039"|"Canada"|"Pfizer"|"Pain"|"Valdecoxib"
"1013"|"NCT00650221"|"Canada"|"Mylan Pharmaceuticals"|"Therapeutic Equivalency"|"Clarithromycin"
"1014"|"NCT00650221"|"Canada"|"Mylan Pharmaceuticals"|"Therapeutic Equivalency"|"Pravastatin"
"1015"|"NCT00650455"|"Canada"|"Pfizer"|"Arthritis, Rheumatoid"|"Naproxen"
"1016"|"NCT00650455"|"Canada"|"Pfizer"|"Arthritis, Rheumatoid"|"Valdecoxib"
"1017"|"NCT00650507"|"Canada"|"The Hospital for Sick Children"|"Ischemia-reperfusion (IR) Injury"|"Ultracet"
"1018"|"NCT00651261"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclosporine"
"1019"|"NCT00651261"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Dactinomycin"
"1020"|"NCT00651261"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Methylphenidate hydrochloride"
"1021"|"NCT00652366"|"Canada"|"Hoffmann-La Roche"|"Pancreatic Cancer"|"Gemcitabine"
"1022"|"NCT00652704"|"Canada"|"Par Pharmaceutical, Inc."|"To Determine Bioequivalence Under Fed Conditions."|"Diclofenac"
"1023"|"NCT00652704"|"Canada"|"Par Pharmaceutical, Inc."|"To Determine Bioequivalence Under Fed Conditions."|"Doxycycline Monohydrate"
"1024"|"NCT00652730"|"Canada"|"Par Pharmaceutical, Inc."|"To Determine Bioequivalence Under Fed Conditions."|"Buspar"
"1025"|"NCT00652730"|"Canada"|"Par Pharmaceutical, Inc."|"To Determine Bioequivalence Under Fed Conditions."|"Buspirone HCL"
"1026"|"NCT00652795"|"Canada"|"Par Pharmaceutical, Inc."|"To Determine Bioequivalence Under Fasting Conditions"|"Oxandrolone"
"1027"|"NCT00652795"|"Canada"|"Par Pharmaceutical, Inc."|"To Determine Bioequivalence Under Fasting Conditions"|"Temozolomide"
"1028"|"NCT00652925"|"Canada"|"Pfizer"|"Arthritis, Juvenile Rheumatoid"|"Celecoxib"
"1029"|"NCT00653055"|"Canada"|"Par Pharmaceutical, Inc."|"To Determine Bioequivalence Under Fasting Conditions"|"Dostinex"
"1030"|"NCT00653120"|"Canada"|"Par Pharmaceutical, Inc."|"To Determine Bioequivalence Under Fasting Conditions"|"Propranolol"
"1031"|"NCT00653380"|"Canada"|"Par Pharmaceutical, Inc."|"To Determine Bioequivalence Under Fasting Conditions"|"Doxycycline Monohydrate"
"1032"|"NCT00653380"|"Canada"|"Par Pharmaceutical, Inc."|"To Determine Bioequivalence Under Fasting Conditions"|"Monodox"
"1033"|"NCT00653419"|"Canada"|"Par Pharmaceutical, Inc."|"To Determine Bioequivalence Under Fasting Conditions"|"Buspar"
"1034"|"NCT00653419"|"Canada"|"Par Pharmaceutical, Inc."|"To Determine Bioequivalence Under Fasting Conditions"|"Metformin"
"1035"|"NCT00654940"|"Canada"|"Pfizer"|"Nerve Pain"|"solifenacin succinate"
"1036"|"NCT00655174"|"Canada"|"The Hospital for Sick Children"|"Autism"|"Fluvoxamine"
"1037"|"NCT00656513"|"Canada"|"National Cancer Institute (NCI)"|"Head and Neck Cancer"|"Capecitabine"
"1038"|"NCT00656513"|"Canada"|"National Cancer Institute (NCI)"|"Head and Neck Cancer"|"Prednisone"
"1039"|"NCT00656513"|"Canada"|"National Cancer Institute (NCI)"|"Xerostomia"|"Capecitabine"
"1040"|"NCT00656513"|"Canada"|"National Cancer Institute (NCI)"|"Xerostomia"|"Prednisone"
"1041"|"NCT00656747"|"Canada"|"Bayer"|"Chronic Bronchitis"|"Amoxicillin"
"1042"|"NCT00657293"|"Canada"|"West Park Healthcare Centre"|"Chronic Obstructive Pulmonary Disease"|"Sodium oxybate"
"1043"|"NCT00657904"|"Canada"|"AstraZeneca"|"Non-Metastatic Prostate Cancer"|"Bicalutamide"
"1044"|"NCT00658047"|"Canada"|"Chelsea Therapeutics"|"Arthritis, Rheumatoid"|"Methotrexate"
"1045"|"NCT00658606"|"Canada"|"Astellas Pharma Inc"|"Plaque Psoriasis"|"Alefacept"
"1046"|"NCT00658775"|"Canada"|"Eisai Inc."|"Gastroesophageal Reflux Disease (GERD)"|"Esomeprazole"
"1047"|"NCT00659074"|"Canada"|"Par Pharmaceutical, Inc."|"Healthy"|"Ondansetron"
"1048"|"NCT00659074"|"Canada"|"Par Pharmaceutical, Inc."|"Healthy"|"Zofran"
"1049"|"NCT00659412"|"Canada"|"Astellas Pharma Inc"|"Psoriatic Arthritis"|"Alefacept"
"1050"|"NCT00659412"|"Canada"|"Astellas Pharma Inc"|"Psoriatic Arthritis"|"Metformin"
"1051"|"NCT00659685"|"Canada"|"Par Pharmaceutical, Inc."|"Healthy"|"Zofran"
"1052"|"NCT00660075"|"Canada"|"Laval University"|"Diabetes Mellitus"|"Sitagliptin"
"1053"|"NCT00660075"|"Canada"|"Laval University"|"Postprandial Lipemia"|"Sitagliptin"
"1054"|"NCT00660179"|"Canada"|"Actelion"|"Pulmonary Arterial Hypertension"|"Losartan"
"1055"|"NCT00660959"|"Canada"|"CardioKine Inc."|"Euvolemic Hyponatremia"|"Lomustine"
"1056"|"NCT00661609"|"Canada"|"AstraZeneca"|"Bladder Cancer"|"Vinorelbine"
"1057"|"NCT00661609"|"Canada"|"AstraZeneca"|"Renal Pelvis Cancer"|"Vinorelbine"
"1058"|"NCT00661609"|"Canada"|"AstraZeneca"|"Transitional Cell Bladder Cancer"|"Vinorelbine"
"1059"|"NCT00661609"|"Canada"|"AstraZeneca"|"Ureter Cancer"|"Vinorelbine"
"1060"|"NCT00661609"|"Canada"|"AstraZeneca"|"Urethra Cancer"|"Vinorelbine"
"1061"|"NCT00663702"|"Canada"|"Bristol-Myers Squibb"|"Arthritis, Rheumatoid"|"Paracetamol"
"1062"|"NCT00664248"|"Canada"|"Dow Pharmaceutical Sciences"|"Acne Vulgaris"|"Clindamycin"
"1063"|"NCT00664469"|"Canada"|"Sunnybrook Health Sciences Centre"|"Hypercholesterolemia"|"Ezetimibe"
"1064"|"NCT00664469"|"Canada"|"Sunnybrook Health Sciences Centre"|"Hypercholesterolemia"|"Rosuvastatin"
"1065"|"NCT00664690"|"Canada"|"Lawson Health Research Institute"|"Pain"|"Celebrex"
"1066"|"NCT00665561"|"Canada"|"Pfizer"|"Human Immunodeficiency Virus"|"Maraviroc"
"1067"|"NCT00665834"|"Canada"|"Queen's University"|"Acute Coronary Syndromes"|"Rosuvastatin"
"1068"|"NCT00665834"|"Canada"|"Queen's University"|"Dyslipidemia"|"Rosuvastatin"
"1069"|"NCT00665912"|"Canada"|"Biomet, Inc."|"Lung Cancer"|"Sirolimus"
"1070"|"NCT00666302"|"Canada"|"Astellas Pharma Inc"|"Dermatitis, Atopic"|"Protopic"
"1071"|"NCT00666588"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclophosphamide"
"1072"|"NCT00666588"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Etoposide"
"1073"|"NCT00666588"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Gemcitabine hydrochloride"
"1074"|"NCT00666887"|"Canada"|"University of Calgary"|"Clinically Isolated Syndromes"|"Apo-Minocycline"
"1075"|"NCT00666887"|"Canada"|"University of Calgary"|"First Event of Multiple Sclerosis"|"Apo-Minocycline"
"1076"|"NCT00667251"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Ketoconazole"
"1077"|"NCT00668707"|"Canada"|"The Canadian College of Naturopathic Medicine"|"Non Small Cell Lung Cancer"|"Melatonin"
"1078"|"NCT00670319"|"Canada"|"Eli Lilly and Company"|"Osteoporosis, Postmenopausal"|"Raloxifene Hcl"
"1079"|"NCT00670501"|"Canada"|"Eli Lilly and Company"|"Osteoporosis, Postmenopausal"|"Teriparatide"
"1080"|"NCT00671281"|"Canada"|"University of Calgary"|"Chronic Sinusitis"|"Aspirin"
"1081"|"NCT00672334"|"Canada"|"Austin Health"|"Cardiac Surgery"|"Sodium bicarbonate"
"1082"|"NCT00672334"|"Canada"|"Austin Health"|"Cardiopulmonary Bypass"|"Sodium bicarbonate"
"1083"|"NCT00673127"|"Canada"|"Dana-Farber Cancer Institute"|"Prostate Cancer"|"Dutasteride"
"1084"|"NCT00673127"|"Canada"|"Dana-Farber Cancer Institute"|"Prostate Cancer"|"Hydrocortisone"
"1085"|"NCT00673556"|"Canada"|"Astellas Pharma Inc"|"Chronic Plaque Psoriasis"|"Alefacept"
"1086"|"NCT00673946"|"Canada"|"The Hospital for Sick Children"|"Bronchiolitis"|"Adalimumab"
"1087"|"NCT00675857"|"Canada"|"Bellus Health Inc"|"Diabetes Mellitus, Type 2"|"Carvedilol"
"1088"|"NCT00675857"|"Canada"|"Bellus Health Inc"|"Metabolic Syndrome X"|"Carvedilol"
"1089"|"NCT00676286"|"Canada"|"Alberta Health Services"|"Prostate Cancer"|"Mesalazine"
"1090"|"NCT00676338"|"Canada"|"Amylin Pharmaceuticals, Inc."|"Type 2 Diabetes Mellitus"|"Celecoxib"
"1091"|"NCT00676338"|"Canada"|"Amylin Pharmaceuticals, Inc."|"Type 2 Diabetes Mellitus"|"Sitagliptin"
"1092"|"NCT00676650"|"Canada"|"Pfizer"|"Prostatic Neoplasms"|"Prednisone"
"1093"|"NCT00676650"|"Canada"|"Pfizer"|"Prostatic Neoplasms"|"Sunitinib"
"1094"|"NCT00677521"|"Canada"|"The Hospital for Sick Children"|"Non-Alcoholic Fatty Liver Disease"|"Acarbose"
"1095"|"NCT00679731"|"Canada"|"Abbott"|"Psoriasis"|"Methotrexate"
"1096"|"NCT00682981"|"Canada"|"Gemin X"|"Extensive-Stage Small Cell Lung Cancer"|"Carboplatin"
"1097"|"NCT00683878"|"Canada"|"Bristol-Myers Squibb"|"Type 2 Diabetes"|"Aripiprazole"
"1098"|"NCT00684112"|"Canada"|"The Hospital for Sick Children"|"Scoliosis"|"Gabapentin"
"1099"|"NCT00685334"|"Canada"|"National Institute of Mental Health (NIMH)"|"Eating Disorders"|"Guanfacine"
"1100"|"NCT00686075"|"Canada"|"MedImmune LLC"|"Parainfluenza Virus Type 3 (PIV3)"|"Alglucosidase alfa"
"1101"|"NCT00686075"|"Canada"|"MedImmune LLC"|"Parainfluenza Virus Type 3 (PIV3)"|"Arsenic trioxide"
"1102"|"NCT00686075"|"Canada"|"MedImmune LLC"|"Parainfluenza Virus Type 3 (PIV3)"|"Clofarabine"
"1103"|"NCT00686075"|"Canada"|"MedImmune LLC"|"Respiratory Syncytial Virus (RSV)"|"Alglucosidase alfa"
"1104"|"NCT00686075"|"Canada"|"MedImmune LLC"|"Respiratory Syncytial Virus (RSV)"|"Arsenic trioxide"
"1105"|"NCT00686075"|"Canada"|"MedImmune LLC"|"Respiratory Syncytial Virus (RSV)"|"Clofarabine"
"1106"|"NCT00686439"|"Canada"|"University of Alberta"|"Osteoarthritis"|"Adalimumab"
"1107"|"NCT00686959"|"Canada"|"Eli Lilly and Company"|"Non Small Cell Lung Cancer"|"Etoposide"
"1108"|"NCT00686959"|"Canada"|"Eli Lilly and Company"|"Non Small Cell Lung Cancer"|"Paclitaxel"
"1109"|"NCT00686959"|"Canada"|"Eli Lilly and Company"|"Non Small Cell Lung Cancer"|"Vinorelbine"
"1110"|"NCT00687102"|"Canada"|"National Institute on Aging (NIA)"|"Aging"|"Prednisone"
"1111"|"NCT00687102"|"Canada"|"National Institute on Aging (NIA)"|"Cognition"|"Prednisone"
"1112"|"NCT00687323"|"Canada"|"Schering-Plough"|"Leukemia, Myeloid, Acute"|"Temozolomide"
"1113"|"NCT00688948"|"Canada"|"Capital District Health Authority, Canada"|"Bladder Dysfunction"|"Alfuzosin"
"1114"|"NCT00688948"|"Canada"|"Capital District Health Authority, Canada"|"Multiple Sclerosis"|"Alfuzosin"
"1115"|"NCT00689338"|"Canada"|"Pfizer"|"Candida"|"Fluconazole"
"1116"|"NCT00689338"|"Canada"|"Pfizer"|"Candida"|"solifenacin succinate"
"1117"|"NCT00689338"|"Canada"|"Pfizer"|"Candidiasis"|"Fluconazole"
"1118"|"NCT00689338"|"Canada"|"Pfizer"|"Candidiasis"|"solifenacin succinate"
"1119"|"NCT00689585"|"Canada"|"McGill University Health Center"|"Complex Regional Pain Syndrome"|"Ethosuximide"
"1120"|"NCT00689936"|"Canada"|"Celgene Corporation"|"Multiple Myeloma"|"Melphalan"
"1121"|"NCT00691483"|"Canada"|"Pfizer"|"Smoking Cessation"|"Varenicline"
"1122"|"NCT00693069"|"Canada"|"University of Montreal"|"Coronary Artery Disease"|"Clonidine"
"1123"|"NCT00693069"|"Canada"|"University of Montreal"|"Coronary Artery Disease"|"Clopidogrel"
"1124"|"NCT00694382"|"Canada"|"Sanofi-Aventis"|"Cancer"|"Enoxaparin"
"1125"|"NCT00694382"|"Canada"|"Sanofi-Aventis"|"Prevention of Venous Thromboembolism"|"Enoxaparin"
"1126"|"NCT00694629"|"Canada"|"Centers for Disease Control and Prevention"|"Pulmonary Tuberculosis"|"Rifampin"
"1127"|"NCT00696332"|"Canada"|"Teva Pharmaceutical Industries"|"ALS"|"Atazanavir"
"1128"|"NCT00697632"|"Canada"|"MethylGene Inc."|"Advanced Malignancies"|"Prednisone"
"1129"|"NCT00698113"|"Canada"|"Centennial College"|"Anxiety"|"Sertraline"
"1130"|"NCT00698113"|"Canada"|"Centennial College"|"Depression"|"Sertraline"
"1131"|"NCT00698113"|"Canada"|"Centennial College"|"Pediatric Cancers"|"Sertraline"
"1132"|"NCT00698113"|"Canada"|"Centennial College"|"Stress"|"Sertraline"
"1133"|"NCT00699075"|"Canada"|"Novartis"|"Myocardial Infarction"|"Aliskiren"
"1134"|"NCT00699374"|"Canada"|"Pfizer"|"Carcinoma, Hepatocellular"|"Sorafenib"
"1135"|"NCT00699998"|"Canada"|"Eli Lilly and Company"|"Acute Coronary Syndrome"|"Clopidogrel"
"1136"|"NCT00700817"|"Canada"|"Novo Nordisk"|"Diabetes Mellitus, Type 2"|"Levetiracetam"
"1137"|"NCT00701935"|"Canada"|"Amylin Pharmaceuticals, Inc."|"Diabetes Mellitus"|"Exenatide"
"1138"|"NCT00702793"|"Canada"|"University of British Columbia"|"Psychosis"|"Naltrexone"
"1139"|"NCT00702793"|"Canada"|"University of British Columbia"|"Schizoaffective"|"Naltrexone"
"1140"|"NCT00702793"|"Canada"|"University of British Columbia"|"Schizophrenia"|"Naltrexone"
"1141"|"NCT00702819"|"Canada"|"Vision Research Foundation"|"Retinopathy of Prematurity"|"Risperidone"
"1142"|"NCT00704990"|"Canada"|"The Canadian College of Naturopathic Medicine"|"Attention Deficit Hyperactivity Disorder"|"Propofol"
"1143"|"NCT00705146"|"Canada"|"University of British Columbia"|"Osteoarthritis, Carpometacarpal"|"Methylprednisolone"
"1144"|"NCT00707889"|"Canada"|"Abbott"|"Advanced Colorectal Cancer"|"Bevacizumab"
"1145"|"NCT00707889"|"Canada"|"Abbott"|"Advanced Colorectal Cancer"|"Fluorouracil"
"1146"|"NCT00707889"|"Canada"|"Abbott"|"Advanced Colorectal Cancer"|"Folinic acid"
"1147"|"NCT00707889"|"Canada"|"Abbott"|"Advanced Colorectal Cancer"|"Oxaliplatin"
"1148"|"NCT00708240"|"Canada"|"University of Ottawa"|"Obsessive Compulsive Disorder"|"Escitalopram"
"1149"|"NCT00709865"|"Canada"|"Biogen Idec"|"Congestive Heart Failure"|"Micafungin"
"1150"|"NCT00709865"|"Canada"|"Biogen Idec"|"Renal Insufficiency"|"Micafungin"
"1151"|"NCT00709904"|"Canada"|"Sanofi-Aventis"|"Venous Thromboembolism"|"Enoxaparin"
"1152"|"NCT00712673"|"Canada"|"Sanofi-Aventis"|"Diabetes Mellitus, Type 2"|"Exenatide"
"1153"|"NCT00714818"|"Canada"|"University of British Columbia"|"Bipolar Disorder"|"Ezetimibe"
"1154"|"NCT00714818"|"Canada"|"University of British Columbia"|"Schizoaffective Disorder"|"Ezetimibe"
"1155"|"NCT00714818"|"Canada"|"University of British Columbia"|"Schizophrenia"|"Ezetimibe"
"1156"|"NCT00715624"|"Canada"|"Sanofi-Aventis"|"Diabetes Mellitus, Type 2"|"Exenatide"
"1157"|"NCT00716755"|"Canada"|"Centre for Addiction and Mental Health"|"Delusional Disorder"|"Budesonide"
"1158"|"NCT00716755"|"Canada"|"Centre for Addiction and Mental Health"|"Psychotic Disorder"|"Budesonide"
"1159"|"NCT00716755"|"Canada"|"Centre for Addiction and Mental Health"|"Schizoaffective Disorder"|"Budesonide"
"1160"|"NCT00716755"|"Canada"|"Centre for Addiction and Mental Health"|"Schizophrenia"|"Budesonide"
"1161"|"NCT00716755"|"Canada"|"Centre for Addiction and Mental Health"|"Schizophreniform Disorder"|"Budesonide"
"1162"|"NCT00717457"|"Canada"|"Hoffmann-La Roche"|"Diabetes Mellitus, Type 2"|"Exenatide"
"1163"|"NCT00718224"|"Canada"|"Sanofi-Aventis"|"Venous Thromboembolism"|"Sitagliptin"
"1164"|"NCT00718510"|"Canada"|"University of Alberta"|"Schizophrenia"|"L-Arginine"
"1165"|"NCT00719550"|"Canada"|"Amgen"|"Esophageal Cancer"|"Alendronate"
"1166"|"NCT00719550"|"Canada"|"Amgen"|"Esophageal Cancer"|"Capecitabine"
"1167"|"NCT00719550"|"Canada"|"Amgen"|"Esophageal Cancer"|"Cisplatin"
"1168"|"NCT00719550"|"Canada"|"Amgen"|"Esophageal Cancer"|"Epirubicin"
"1169"|"NCT00719550"|"Canada"|"Amgen"|"Esophagogastric Junction Adenocarcinoma"|"Alendronate"
"1170"|"NCT00719550"|"Canada"|"Amgen"|"Esophagogastric Junction Adenocarcinoma"|"Capecitabine"
"1171"|"NCT00719550"|"Canada"|"Amgen"|"Esophagogastric Junction Adenocarcinoma"|"Cisplatin"
"1172"|"NCT00719550"|"Canada"|"Amgen"|"Esophagogastric Junction Adenocarcinoma"|"Epirubicin"
"1173"|"NCT00719550"|"Canada"|"Amgen"|"Gastric Cancer"|"Alendronate"
"1174"|"NCT00719550"|"Canada"|"Amgen"|"Gastric Cancer"|"Capecitabine"
"1175"|"NCT00719550"|"Canada"|"Amgen"|"Gastric Cancer"|"Cisplatin"
"1176"|"NCT00719550"|"Canada"|"Amgen"|"Gastric Cancer"|"Epirubicin"
"1177"|"NCT00720083"|"Canada"|"National Cancer Institute (NCI)"|"Head and Neck Cancer"|"Cetuximab"
"1178"|"NCT00720083"|"Canada"|"National Cancer Institute (NCI)"|"Head and Neck Cancer"|"Tretinoin"
"1179"|"NCT00724048"|"Canada"|"NeuroSearch A/S"|"Huntington Disease"|"Trastuzumab"
"1180"|"NCT00728065"|"Canada"|"St. Michael's Hospital, Toronto"|"Post Prandial Blood Glucose"|"Ribavirin"
"1181"|"NCT00729703"|"Canada"|"Sorin Group"|"Tachycardia"|"Aripiprazole"
"1182"|"NCT00731380"|"Canada"|"University Health Network, Toronto"|"Head and Neck Cancer"|"Rapamune"
"1183"|"NCT00732810"|"Canada"|"Schering-Plough"|"Breast Neoplasms"|"Erlotinib"
"1184"|"NCT00732810"|"Canada"|"Schering-Plough"|"Carcinoma, Non-Small-Cell Lung"|"Erlotinib"
"1185"|"NCT00736346"|"Canada"|"Universite du Quebec a Montreal"|"Anxiety Disorder"|"Paroxetine"
"1186"|"NCT00736346"|"Canada"|"Universite du Quebec a Montreal"|"Mental Disorder"|"Paroxetine"
"1187"|"NCT00736346"|"Canada"|"Universite du Quebec a Montreal"|"Panic Disorder"|"Paroxetine"
"1188"|"NCT00737568"|"Canada"|"Gilead Sciences"|"Hepatitis B"|"Emtricitabine"
"1189"|"NCT00737997"|"Canada"|"The Hospital for Sick Children"|"Scoliosis"|"Morphine"
"1190"|"NCT00738062"|"Canada"|"Chelsea Therapeutics"|"Dopamine Beta Hydroxylase Deficiency"|"Droxidopa"
"1191"|"NCT00738062"|"Canada"|"Chelsea Therapeutics"|"Non-Diabetic Neuropathy"|"Droxidopa"
"1192"|"NCT00738062"|"Canada"|"Chelsea Therapeutics"|"Primary Autonomic Failure"|"Droxidopa"
"1193"|"NCT00738062"|"Canada"|"Chelsea Therapeutics"|"Symptomatic Neurogenic Orthostatic Hypotension (NOH)"|"Droxidopa"
"1194"|"NCT00739739"|"Canada"|"Pfizer"|"Interstitial Cystitis"|"Paroxetine"
"1195"|"NCT00739739"|"Canada"|"Pfizer"|"Painful Bladder Syndrome"|"Paroxetine"
"1196"|"NCT00739830"|"Canada"|"Ariad Pharmaceuticals"|"Endometrial Cancer"|"Valproic Acid"
"1197"|"NCT00739973"|"Canada"|"Novartis"|"Hypertension"|"Aliskiren"
"1198"|"NCT00739973"|"Canada"|"Novartis"|"Hypertension"|"Amlodipine"
"1199"|"NCT00740558"|"Canada"|"Universite du Quebec a Montreal"|"Low Back Pain"|"Infliximab"
"1200"|"NCT00741156"|"Canada"|"The Hospital for Sick Children"|"Congestive Cardiomyopathy"|"Enalapril"
"1201"|"NCT00741156"|"Canada"|"The Hospital for Sick Children"|"Hypertension"|"Enalapril"
"1202"|"NCT00742040"|"Canada"|"The Hospital for Sick Children"|"Heart Disease"|"Captopril"
"1203"|"NCT00742859"|"Canada"|"Portola Pharmaceuticals"|"Atrial Fibrillation"|"Warfarin"
"1204"|"NCT00743548"|"Canada"|"University of British Columbia"|"Gingivitis"|"Dexa"
"1205"|"NCT00743938"|"Canada"|"Bristol-Myers Squibb"|"Non Small Cell Lung Cancer"|"Nevirapine"
"1206"|"NCT00744367"|"Canada"|"Hoffmann-La Roche"|"Diabetes Mellitus, Type 2"|"Metformin"
"1207"|"NCT00744367"|"Canada"|"Hoffmann-La Roche"|"Diabetes Mellitus, Type 2"|"Pioglitazone"
"1208"|"NCT00744536"|"Canada"|"Sunnybrook Health Sciences Centre"|"Angiogenesis"|"Lenalidomide"
"1209"|"NCT00744536"|"Canada"|"Sunnybrook Health Sciences Centre"|"Leukemia, Myelomonocytic, Chronic"|"Lenalidomide"
"1210"|"NCT00744536"|"Canada"|"Sunnybrook Health Sciences Centre"|"Myelodysplastic Syndromes"|"Lenalidomide"
"1211"|"NCT00744666"|"Canada"|"Hotel Dieu Hospital"|"Ocular Hypertension"|"Prednisolone"
"1212"|"NCT00744666"|"Canada"|"Hotel Dieu Hospital"|"Vitreoretinal Disease"|"Prednisolone"
"1213"|"NCT00747487"|"Canada"|"Santhera Pharmaceuticals"|"Leber's Hereditary Optic Neuropathy"|"Idarubicin"
"1214"|"NCT00748566"|"Canada"|"Pfizer"|"Schizophrenia and Disorders With Psychotic Features"|"Ziprasidone"
"1215"|"NCT00749827"|"Canada"|"Memorial University of Newfoundland"|"Contrast Induced Nephropathy"|"Levetiracetam"
"1216"|"NCT00751231"|"Canada"|"Portola Pharmaceuticals"|"Non-Urgent PCI"|"Everolimus"
"1217"|"NCT00751296"|"Canada"|"University Health Network, Toronto"|"Chronic Lymphocytic Leukaemia"|"Lenalidomide"
"1218"|"NCT00751738"|"Canada"|"Procter and Gamble"|"Arrhythmias"|"Alprazolam"
"1219"|"NCT00751920"|"Canada"|"The Hospital for Sick Children"|"Metastatic Pulmonary Nodules"|"Metformin"
"1220"|"NCT00752622"|"Canada"|"Schering-Plough"|"Crohn's Disease"|"Infliximab"
"1221"|"NCT00754819"|"Canada"|"McMaster University"|"Acute Coronary Syndrome"|"Colchicine"
"1222"|"NCT00754988"|"Canada"|"Hoffmann-La Roche"|"Diabetes Mellitus, Type 2"|"Sitagliptin"
"1223"|"NCT00755287"|"Canada"|"Hoffmann-La Roche"|"Diabetes Mellitus, Type 2"|"Busulfan"
"1224"|"NCT00755690"|"Canada"|"University of British Columbia"|"Kidney Diseases"|"Losartan"
"1225"|"NCT00755898"|"Canada"|"University of Manitoba"|"Cancer"|"Control"
"1226"|"NCT00763815"|"Canada"|"Sanofi-Aventis"|"Diabetes Mellitus Type 2"|"Exenatide"
"1227"|"NCT00782340"|"Canada"|"Chelsea Therapeutics"|"Dopamine Beta Hydroxylase Deficiency"|"Droxidopa"
"1228"|"NCT00782340"|"Canada"|"Chelsea Therapeutics"|"Non-diabetic Neuropathy"|"Droxidopa"
"1229"|"NCT00782340"|"Canada"|"Chelsea Therapeutics"|"Primary Autonomic Failure"|"Droxidopa"
"1230"|"NCT00782340"|"Canada"|"Chelsea Therapeutics"|"Symptomatic Neurogenic Orthostatic Hypotension (NOH)"|"Droxidopa"
"1231"|"NCT00811252"|"Canada"|"H. Lundbeck A/S"|"Major Depressive Disorder"|"Insulin glargine"
"1232"|"NCT00811499"|"Canada"|"Array BioPharma"|"Ankylosing Spondylitis"|"Nesiritide"
"1233"|"NCT00811902"|"Canada"|"Sanofi-Aventis"|"Multiple Sclerosis"|"Metformin"
"1234"|"NCT00820248"|"Canada"|"National Cancer Institute (NCI)"|"Head and Neck Cancer"|"Cetuximab"
"1235"|"NCT00829166"|"Canada"|"Genentech"|"Metastatic Breast Cancer"|"Trastuzumab"
"1236"|"NCT00875979"|"Canada"|"Genentech"|"Metastatic Breast Cancer"|"Trastuzumab"
"1237"|"NCT00884741"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Tamoxifen Citrate"
"1238"|"NCT00912964"|"Canada"|"Astellas Pharma Inc"|"Urinary Bladder, Overactive"|"Pemetrexed"
"1239"|"NCT00980460"|"Canada"|"National Cancer Institute (NCI)"|"Liver Cancer"|"Cetuximab"
"1240"|"NCT00980460"|"Canada"|"National Cancer Institute (NCI)"|"Liver Cancer"|"Docetaxel"
"1241"|"NCT00980460"|"Canada"|"National Cancer Institute (NCI)"|"Liver Cancer"|"Fludarabine phosphate"
"1242"|"NCT00980460"|"Canada"|"National Cancer Institute (NCI)"|"Liver Cancer"|"Ifosfamide"
"1243"|"NCT00983658"|"Canada"|"Genentech"|"Asthma"|"Paclitaxel"
"1244"|"NCT00987337"|"Canada"|"Pfizer"|"Hepatitis C"|"Calcitriol"
"1245"|"NCT00987337"|"Canada"|"Pfizer"|"Hepatitis"|"Calcitriol"
"1246"|"NCT00994292"|"Canada"|"Astellas Pharma Inc"|"Acute Coronary Syndrome"|"Pemetrexed"
